District,State,Population,Growth,Sex-Ratio,Literacy
Fatehabad,Haryana,942011,16.85%,902,67.92
Darrang,Assam,928500,22.19%,954,63.08
Mahendragarh,Haryana,922088,13.48%,895,77.72
Muktsar,Punjab,901896,16.00%,896,65.81
Pakur,Jharkhand,900422,28.33%,989,48.82
Rewari,Haryana,900332,17.64%,898,80.99
North Delhi,Delhi,887978,13.62%,869,86.85
Kokrajhar,Assam,887142,5.21%,959,65.22
South Tripura,Tripura,876001,14.15%,957,84.66
Mahoba,Uttar Pradesh,875958,23.64%,878,65.27
Kupwara,Jammu and Kashmir,870354,33.82%,835,64.51
Pratapgarh,Rajasthan,867848,22.78%,983,55.97
Jashpur,Chhattisgarh,851669,14.60%,1005,67.92
Sindhudurg,Maharashtra,849651,-2.21%,1036,85.56
Ashoknagar,Madhya Pradesh,845071,22.66%,904,66.42
Udalguri,Assam,831668,9.61%,973,65.41
Neemuch,Madhya Pradesh,826067,13.77%,954,70.8
East Khasi Hills,Meghalaya,825922,24.96%,1011,84.15
Kabirdham,Chhattisgarh,822526,40.71%,996,60.85
